Discharge_ID,Formula_dcg,Gravimetric_Capacity_(mAh/g),Average_Voltage_(V),Number_of_Elements_dcg,a_dcg,alpha_dcg,Spacegroup_cg,sum_NpUnfilled_dcg,sum_GSbandgap_dcg,sum_SpaceGroupNumber_dcg,avg_MeltingT_dcg,avg_Row_dcg,avg_NsUnfilled_dcg,avg_GSvolume_pa_dcg,dev_Column_dcg,dev_Row_dcg,dev_CovalentRadius_dcg,dev_Electronegativity_dcg,dev_NpValence_dcg,dev_NsUnfilled_dcg,dev_NpUnfilled_dcg,dev_GSbandgap_dcg,max_MeltingT_dcg,max_NdValence_dcg,max_NpUnfilled_dcg,max_NUnfilled_dcg,Predicted_Fermi_Energy_dcg,Predicted_Band_Gap_dcg,Predicted_Formation_Energy_Per_Atom_dcg,Predicted_Final_Energy_Per_Atom_dcg
3332,NaCrSe2,38.3581018205873,1.76918837655172,3,7.105537,30.665559,12,4,1.598,486,884.7175,3.75,0.5,23.068333333325,6.25,0.375,16.25,0.6275,2,0.5,1,0.3995,2180,10,2,6,3.71718907356262,0.394138216972351,-0.743130803108215,-6.93589496612549
3744,NaFe(PO3)3,181.219718968376,2.26834607655172,4,8.693111,90,194,27,4.875,572,259.069285714286,2.42857142857143,0.0714285714285714,13.5449319727786,2.75510204081633,0.551020408163265,26.5408163265306,0.722755102040816,1.01020408163265,0.13265306122449,0.551020408163265,0.54719387755102,1811,6,3,4,2.7242374420166,3.82205677032471,-2.47689175605774,-6.11652183532715
4541,Na2Cu(PO3)4,226.106875894187,4.16164263655172,4,8.25865,87.020357,69,36,6.5,835,211.911052631579,2.42105263157895,0.157894736842105,14.1630325814421,3.03601108033241,0.53185595567867,28.5872576177285,0.768531855955679,1.06371191135734,0.265927977839335,0.598337950138504,0.54016620498615,1357.77,10,3,3,2.09045505523682,0.601829051971436,-1.33442258834839,-3.98035764694214
6465,NaSbWO7,120.172989465171,1.28324748655173,4,7.382342,120.51972,15,17,0,708,535.325,2.8,0.1,14.05883333333,3.96,1.12,37.66,0.6972,1.26,0.18,0.68,0,3695,10,3,6,6.18724727630615,0.460151791572571,-3.15174627304077,-6.87686252593994
6467,Na6V2P(CO4)4,94.5482368092227,4.08399806155173,5,9.967051,60,9,51,19.609,2802,795.769655172414,2.37931034482759,0.206896551724138,13.5272495894828,5.42211652794293,0.523186682520809,37.9072532699168,0.893793103448276,1.58858501783591,0.328180737217598,0.970273483947681,1.11918192627824,3823,3,4,7,1.85685873031616,0.42796802520752,-2.40420889854431,-6.91324043273926
7002,NaV5O10,260.573942013808,1.10556899655172,3,5.613031,83.338194,166,20,0,1494,739.616875,2.6875,0.0625,11.5839583333313,5.46875,0.859375,41.796875,0.903125,1.875,0.1171875,0.9375,0,2183,3,2,7,6.06698226928711,2.51531052589417,-2.90247821807861,-6.5326566696167
7433,Na5Mn2P2(CO7)2,161.946624146137,1.61725490155172,5,5.227996,73.558021,129,42,12.242,2139,557.606,2.44,0.2,14.043292610828,5.2224,0.5632,36.6976,0.923328,1.5808,0.32,0.9408,0.8226624,3823,5,4,5,4.15096807479858,0.445521712303162,-0.58021891117096,-6.73645210266113
7469,Na2NiH12(SO7)2,261.388178647028,2.99059968655173,5,11.998646,76.018447,139,32,98.64,3319,134.896129032258,1.80645161290323,0.451612903225806,10.555819892471,7.25494276795005,0.624349635796046,24.9989594172737,0.674505723204995,1.99791883454735,0.49531737773153,0.998959417273673,3.61630801248699,1728,8,2,2,2.75098729133606,0.873136043548584,-1.22089290618896,-6.28152656555176
7937,NaMo2P3O13,148.875489769427,1.78838365655173,4,6.465169,75.448155,194,35,4.875,849,411.956315789474,2.52631578947368,0.157894736842105,12.9841604009947,3.05263157894737,0.720221606648199,28.7368421052632,0.635235457063712,1.0803324099723,0.265927977839335,0.581717451523546,0.43213296398892,2896,5,3,6,5.84308576583862,0.783883810043335,-1.52808713912964,-6.84990739822388
7939,Na2MnPCO7,97.8813017999064,1.48947925155172,5,8.518624,107.054623,194,21,6.121,955,565.386666666667,2.41666666666667,0.166666666666667,13.409957580725,4.75,0.555555555555556,34.3333333333333,0.879861111111111,1.5,0.277777777777778,0.875,0.850138888888889,3823,5,4,5,5.25577735900879,0.386278390884399,-0.941819369792938,-7.43893241882324
10224,NaP4(W3O11)4,194.127442729852,1.51737323655173,4,5.42369,90.308352,166,100,6.5,3513,793.299508196721,2.86885245901639,0.0163934426229508,11.6843325526902,3.45498521902714,1.25342649825316,33.4877721042731,0.484106423004569,1.3243751679656,0.0322493953238376,0.69873689868315,0.199140016124698,3695,4,3,6,4.86102390289307,0.445329308509827,-1.34791719913483,-6.67445230484009
10225,NaCr2O4,194.127442729852,1.45302298655172,3,2.973501,90,166,8,0,735,707.152857142857,2.71428571428571,0.428571428571429,12.5776190476143,5.71428571428571,0.816326530612245,40.1632653061225,0.991020408163265,1.95918367346939,0.489795918367347,0.979591836734694,0,2180,5,2,6,4.64536619186401,0.4478919506073,-1.35412573814392,-5.28255558013916
16381,Na5MnO4,28.1108870135793,3.74722532655176,3,5.757273,90,11,8,0,1410,359.255,2.7,0.5,19.31242528734,6.72,0.56,45.84,1.1552,1.92,0.5,0.96,0,1519,5,2,5,2.43669962882996,3.37921857833862,-2.59699201583862,-6.26803541183472
